,list_price_dkk,rooms,home_size_m2,lotsize_m2,expenses_dkk,balcony,floor_as_int,m2_price,zipcode_avg_m2_price,age,Zipcode_1300,Zipcode_1600,Zipcode_1799,Zipcode_1900,Zipcode_2000,Zipcode_2100,Zipcode_2150,Zipcode_2200,Zipcode_2300,Zipcode_2400,Zipcode_2450,Zipcode_2500,Zipcode_2700,Zipcode_2720,Zipcode_2770,Zipcode_2900,Hometype_Andelsbolig,Hometype_Ejerlejlighed,Hometype_Fritidshus,Hometype_Rækkehus,Hometype_Villa,Hometype_Villalejlighed
117,2845000.0,2.0,71,0.0,3734.0,2,2,40070.42253521127,49171.014350839054,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,3995000.0,3.0,98,0.0,4217.0,2,4,40765.30612244898,49171.014350839054,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,5395000.0,4.0,112,0.0,4476.0,2,1,48169.642857142855,49171.014350839054,91.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,6995000.0,5.0,155,0.0,4654.0,0,0,45129.032258064515,58670.47911762888,93.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,7295000.0,3.0,116,0.0,4406.0,2,2,62887.93103448276,58670.47911762888,152.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122,7995000.0,5.0,144,0.0,5552.0,0,3,55520.833333333336,58670.47911762888,119.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,10995000.0,5.0,172,0.0,5963.0,0,2,63924.41860465116,58670.47911762888,117.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,2498000.0,2.0,60,0.0,2251.0,2,2,41633.333333333336,49171.014350839054,60.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,1830000.0,2.0,61,0.0,4309.0,2,0,30000.0,49171.014350839054,32.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126,3295000.0,3.0,71,0.0,3186.0,0,0,46408.45070422535,49171.014350839054,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,5328537.0,3.0,103,0.0,5634.0,2,0,51733.36893203884,58670.47911762888,116.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,8995000.0,4.0,191,0.0,7994.0,2,0,47094.240837696336,58670.47911762888,134.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,9995000.0,5.0,174,0.0,5524.0,2,4,57442.528735632186,58670.47911762888,115.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,2375000.0,2.0,58,0.0,3196.0,2,0,40948.275862068964,49171.014350839054,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,2195000.0,2.0,47,0.0,1600.0,2,2,46702.12765957447,49171.014350839054,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,2695000.0,2.0,67,0.0,2316.0,2,1,40223.880597014926,49171.014350839054,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,4548000.0,5.0,93,0.0,3161.0,0,0,48903.22580645161,49171.014350839054,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,10500000.0,5.0,166,0.0,7324.0,0,4,63253.01204819277,49171.014350839054,123.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,3995000.0,3.0,98,0.0,5110.0,2,4,40765.30612244898,49171.014350839054,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
